text,label,category_id,text_clean,class_prediction
Cepat tepat mantap terima kasih,Pengiriman,2,cepat tepat mantap terima kasih,Shipping/Delivery
barang sudah sampai dan sudah di tes mantap,Produk,0,barang tes mantap,Product
Bagus sesuai gambar 😊,Produk,0,bagus sesuai gambar,Product
Barang baru sampai packing rapi tapi dalamnya berantakan yah,Layanan Pelanggan,1,barang baru packing rapi dalam beranta yah,Customer Service
mantap sudah sampai barangnya.,Pengiriman,2,mantap barang,Customer Service
Dikirim barang ruksak wkwkwk,Layanan Pelanggan,1,kirim barang ruksak wkwkwk,Customer Service
"Kesesuaian dengan deskripsi
Cth: Ukuran dan warna sesuai dengan foto.",Produk,0,sesuai deskripsi cth ukur warna sesuai foto,Product
analog sudah keras. overall oke,Produk,0,analog keras overall oke,Product
Cepat sampainya semogak awet ada garandinya juga,Pengiriman,2,cepat sampai semogak awet garandinya,Shipping/Delivery
Produk oke awal kebingungan pakainya gimana tapi akhirnya bisa setelah cari tau caranya. thanks,Produk,0,produk oke awal bingung pakai gimana cari tau cara thanks,Product
Barang sesuai dengan gambar. semoga rezekinya berkah,Produk,0,barang sesuai gambar moga rezeki berkah,Product
langsung sampai cmn bbrp jam mantap,Pengiriman,2,langsung cmn bbrp jam mantap,Shipping/Delivery
terima kasih. harga pas kualitas mantap,Layanan Pelanggan,1,terima kasih harga pas kualitas mantap,Customer Service
barangnya sudah sampai walaupun agak lama,Pengiriman,2,barang,Customer Service
Good___________________,Produk,0,good,Product
Stick sudah sampai terima kasih,Pengiriman,2,stick terima kasih,Product
terima kasih barang telah tiba,Layanan Pelanggan,1,terima kasih barang tiba,Customer Service
Sesuai pesanan terima kasihhh. Lancarr,Produk,0,sesuai pesan terima kasihhh lancarr,Product
Barang tepat dan respon cepat recommended seller,Layanan Pelanggan,1,barang tepat respon cepat recommended seller,Customer Service
ok nh Produk luar binasa,Produk,0,ok nh produk luar binasa,Product
mantap gan!!!!!.Barang bagus juga ,Produk,0,mantap gan barang bagus,Product
GoodJob! Selalu berikan yang terbaik untuk konsumen!,Layanan Pelanggan,1,goodjob ikan baik untuk konsumen,Product
barangnya sudah sampai dengan selamat dan berfungsi dengan baik mantapb,Produk,0,barang selamat fungsi baik mantapb,Shipping/Delivery
Sudah diterima belum dicoba. Original garansi resmi. Mudah2an tidak ada masalah.,Produk,0,terima coba original garansi resmi mudah2an masalah,Product
Periguuuuuuddddddd alus pisan nuhun,Produk,0,periguuuuuuddddddd alus pis nuhun,Product
Barang sudah sampai dan packing nya rapi,Layanan Pelanggan,1,barang packing nya rapi,Customer Service
murah cepat dan bagus,Produk,0,murah cepat bagus,Product
terima kasih gan barang.a sudah nyampe dan berfungsi dengan baik,Produk,0,terima kasih gan barang a nyampe fungsi baik,Customer Service
barang sudah diterima dan berffungsi dengan baik lampu nyala semua dan semua port berfungsi. terima kasih,Produk,0,barang terima berffungsi baik lampu nyala port fungsi terima kasih,Product
barang joss Recommended seller,Produk,0,barang joss recommended seller,Product
Barang sesuai dengan pesanan Terima kasih,Produk,0,barang sesuai pesan terima kasih,Customer Service
mantap gan langsung gas maen fifa,Produk,0,mantap gan langsung gas maen fifa,Product
Barangnya keren. tapi packingnya biasa aj,Produk,0,barang keren packingnya aj,Product
memang bener2 cepat gak ada 5 jam barang sampai recommended banget Barang oke pula Thanks gan.,Pengiriman,2,bener2 cepat gak 5 jam barang recommended banget barang oke thanks gan,Shipping/Delivery
barang oke sesuai deskripsi yang dituliskan Recommended,Produk,0,barang oke sesuai deskripsi tulis recommended,Customer Service
Respon cepat hari ini pesan besok sampai. mantap. semoga awet ya minimal setahun hehehe. thanks,Layanan Pelanggan,1,respon cepat hari pesan besok sampai mantap moga awet ya minimal tahun hehehe thanks,Customer Service
Saya senang berbelanja di tokoh ini,Layanan Pelanggan,1,senang belanja tokoh,Customer Service
Ok barang sudah nyampe Thanks ya,Produk,0,ok barang nyampe thanks ya,Product
Jam nya bagus sayangnya saya order sesuai iklan warna merah dan sudah tulis keterangan tapi jam yang sampai hitam harusnya bs info ke buyer kalo stok warna hitam. thanks,Layanan Pelanggan,1,jam nya bagus sayang order sesuai iklan warna merah tulis terang jam hitam bs info buyer kalo stok warna hitam thanks,Customer Service
Bekerja dengan baik mantap !!,Produk,0,kerja baik mantap,Customer Service
mantap  packing nya,Layanan Pelanggan,1,mantap packing nya,Customer Service
Produk mantap pelayanan ramah dan Pengirimannya cepat,Layanan Pelanggan,1,produk mantap layan ramah kirim cepat,Customer Service
terima kasih banyak ya boss mantap,Layanan Pelanggan,1,terima kasih ya boss mantap,Product
Barangnya ori ringan dan bisa nyala dengan baik,Produk,0,barang ori ringan nyala baik,Product
"thanks
minta warna hitam datang warna putih
ya sudahlah paket aman gak ada cacat",Layanan Pelanggan,1,thanks minta warna hitam datang warna putih ya paket aman gak cacat,Customer Service
bagus sekali terima kasih sukses selalu,Layanan Pelanggan,1,bagus terima kasih sukses,Shipping/Delivery
Hihihi kecit gan btw bagus dan thanks,Produk,0,hihihi kecit gan btw bagus thanks,Product
Bisa dipakai tapi key nya kacau kayak analogny kalo mau maju kedepan analog kananny dikekiriin,Produk,0,pakai key nya kacau kayak analogny kalo maju depan analog kananny dikekiriin,Product
Fast respon banget barang yang dipesan berfungsi dengan baik thanks,Layanan Pelanggan,1,fast respon banget barang pes fungsi baik thanks,Customer Service
Jamnya keren banget packing rapi dan berfungsi sebagaimana fungsinya.,Produk,0,jam keren banget packing rapi fungsi fungsi,Product
Wajar lah dengan harga yang sangat murah But sellernya ok punya fast respon pesen jam 1 jam 4 tiba ,Layanan Pelanggan,1,wajar harga murah but sellernya ok punya fast respon sen jam 1 jam 4 tiba,Customer Service
mantap lancar gak ada masalah,Pengiriman,2,mantap lancar gak masalah,Shipping/Delivery
Good bagus mantap,Produk,0,good bagus mantap,Product
Fast response recommended seller,Layanan Pelanggan,1,fast response recommended seller,Customer Service
barang cukup baik dan sampai tepat waktu,Produk,0,barang cukup baik tepat waktu,Product
Terima kasih banyak barang telah saya terima ,Layanan Pelanggan,1,terima kasih barang terima,Shipping/Delivery
Pengiriman cepat barang sesuai gambar dan deskripsi kualitas semoga oke ,Pengiriman,2,kirim cepat barang sesuai gambar deskripsi kualitas moga oke,Product
dicoba dulu semogak bisa,Produk,0,coba semogak,Customer Service
semalam pesan hari ini sampai sudah dicoba berfungsi baik. thanks,Pengiriman,2,malam pesan hari coba fungsi baik thanks,Shipping/Delivery
Tombol-tombol nya empuk dan nyaman langsung libasss buat main game favorit mantap,Produk,0,tombol nya empuk nyaman langsung libasss main game favorit mantap,Product
Pelayanan super ok cepat langsung sampai,Layanan Pelanggan,1,layan super ok cepat langsung,Customer Service
Murah barang cepat sampai,Pengiriman,2,murah barang cepat,Customer Service
Memuaskan barang sampai dengan aman packaging rapi barang mantap.,Layanan Pelanggan,1,muas barang aman packaging rapi barang mantap,Customer Service
Produk sesuai deskripsi Pengiriman cepat. mantap!,Pengiriman,2,produk sesuai deskripsi kirim cepat mantap,Product
Cepat dan sesuai pesanan,Pengiriman,2,cepat sesuai pesan,Shipping/Delivery
barang ok tambahkan stok,Produk,0,barang ok tambah stok,Product
"nice.
barang berfungsi.
terima kasih",Produk,0,nice barang fungsi terima kasih,Product
Barang bagus dan cepat kirimnya,Pengiriman,2,barang bagus cepat kirim,Shipping/Delivery
wahh sayaukron jazakallah barangnya cepat nyampe padahal pakai yang paling lama nyampe barangnya juga bagus ,Pengiriman,2,wahh sayaukron jazakallah barang cepat nyampe pakai nyampe barang bagus,Shipping/Delivery
barang sesuai dengan spek nya sudah dicoba gak ada mslah overall ok lah,Produk,0,barang sesuai spek nya coba gak mslah overall ok,Product
mantap lur sukses terus,Layanan Pelanggan,1,mantap lur sukses terus,Customer Service
Barang sudah diterima. Recommended. Lebih cocok untuk yang tangannya kecil.,Produk,0,barang terima recommended cocok untuk tangan kecil,Product
Packing rapi harga bersahabat Dan kualitas nya tidak diragukan lagi,Layanan Pelanggan,1,packing rapi harga sahabat kualitas nya ragu,Customer Service
good lah bagus barangnya dan Pengiriman pke bubble wrap juga ty,Layanan Pelanggan,1,good bagus barang kirim pke bubble wrap ty,Customer Service
mantapppppppppppppppppppppppppppppppppppppppppppp,Produk,0,mantapppppppppppppppppppppppppppppppppppppppppppp,Product
Barang sesuai cepat di proses dan cepat sampai,Produk,0,barang sesuai cepat proses cepat,Shipping/Delivery
recommended sellerer barangnya sesuai deskripsi semoga awett,Layanan Pelanggan,1,recommended sellerer barang sesuai deskripsi moga awett,Customer Service
Pengiriman cepat dan kualitas oke,Pengiriman,2,kirim cepat kualitas oke,Customer Service
Bagus. Sesuai dengan harga,Produk,0,bagus sesuai harga,Product
Barang sesuai dengan deskripsi Pengiriman sngt cepat (bayar jam 9 jam 10.30 barang sudah sampai) seller fast respon juga. Rekomen seller👍👍,Layanan Pelanggan,1,barang sesuai deskripsi kirim sngt cepat bayar jam 9 jam 10 30 barang sampai seller fast respon juga rekomen seller,Customer Service
thanks gan fast respon barang bagus mantap lah,Layanan Pelanggan,1,thanks gan fast respon barang bagus mantap,Customer Service
saya puas beli di sini,Layanan Pelanggan,1,puas beli,Customer Service
mantap sekali,Produk,0,mantap,Product
Cinta jam tangan gaya militer Biden. WIfe saya mendapatkannya untuk saya sebagai hadiah,Produk,0,cinta jam tangan gaya militer biden wife dapat untuk hadiah,Product
Alhamdulillah sampai dengan selamat fast response next diperbaiki aja packing&#39;a pakai dus biar rapi barang belum dicoba semoga berfungsi dan aweett,Layanan Pelanggan,1,alhamdulillah selamat fast response next baik aja packing 39 a pakai dus biar rapi barang coba moga fungsi aweett,Customer Service
Baguslah pokoknyaa dan cepat Pengirimannya gak kaya tokoh lain,Pengiriman,2,bagus pokoknyaa cepat kirim gak kaya tokoh,Shipping/Delivery
Bagus jam nya nyaman dipakai. Sesuak pics,Produk,0,bagus jam nya nyaman pakai suak pics,Product
barang sesuai dan Pengiriman cepat walaupun tombol R2 nya rada nyangakut,Produk,0,barang sesuai kirim cepat tombol r2 nya rada nyangakut,Product
Barang oke sesuai gambar ;),Produk,0,barang oke sesuai gambar,Product
sudah dicoba dan jalan semua semoga awet,Produk,0,coba jalan moga awet,Shipping/Delivery
